situation,emotion,dialogues
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :They are. All the sights and sounds of babies are so precious to remember.
Agent : I agree with that for sure."
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :Awe how sweet, I bet those are good memories
Agent : They are. All the sights and sounds of babies are so precious to remember."
When I was little and I found out that we were going to the amusement park .,excited,"Customer :When I was a little child my parents told me that we were going to the amusement park and it made me so happy
Agent : I bet! That sounds like fun."
When I was little and I found out that we were going to the amusement park .,excited,"Customer :It was fun for sure, all the rides and the food, it brings back great memories.
Agent : What sweet memories to hold on to."
When I was little and I found out that we were going to the amusement park .,excited,"Customer :I bet! That sounds like fun.
Agent : It was fun for sure, all the rides and the food, it brings back great memories."
When I was little and I found out that we were going to the amusement park .,excited,"Customer :What sweet memories to hold on to.
Agent : Have you ever been to the amusement park?"
My wife and I took a 3 week trip to New Zealand last year.,excited,"Customer :My wife and I decided to go on an iternational trip last year, and it was my first trip out of the US. It was an amazing experience, and one of the best and most memorable things I've ever done.
Agent : That's awesome! How helpful where the other people so that you could enjoy your trip?"
My wife and I took a 3 week trip to New Zealand last year.,excited,"Customer :My wife was amazing. She booked the whole trip for us, and planned out some things for us to do while we were there. The person's house we stayed at was also really great, and helped us find our way around Auckland.
Agent : Must have been super fun. How were the local people? How did they treat you?"
My wife and I took a 3 week trip to New Zealand last year.,excited,"Customer :Super nice, the locals were always willing to help us navigate around, and had great recommendations for things to try while we were there.
Agent : That's great! Im glad that they took care of you! Have a gret day!"
My wife and I took a 3 week trip to New Zealand last year.,excited,"Customer :That's awesome! How helpful where the other people so that you could enjoy your trip?
Agent : My wife was amazing. She booked the whole trip for us, and planned out some things for us to do while we were there. The person's house we stayed at was also really great, and helped us find our way around Auckland."
My wife and I took a 3 week trip to New Zealand last year.,excited,"Customer :Must have been super fun. How were the local people? How did they treat you?
Agent : Super nice, the locals were always willing to help us navigate around, and had great recommendations for things to try while we were there."
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,"Customer :Onnce I had to take care of my cousin who had an ailing stomach
Agent : I'm sorry to hear that. Do you know what caused it?"
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,"Customer :Apparently he ate something and slept immediately
Agent : I've done that to myself before. Now I always wait awhile to sleep after eating."
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,"Customer :I'm sorry to hear that. Do you know what caused it?
Agent : Apparently he ate something and slept immediately"
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,"Customer :I've done that to myself before. Now I always wait awhile to sleep after eating.
Agent : Yeah I had to tell him either to sleep first for a bit than eat. Or eat at first and wait an hour"
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"Customer :I felt afraid. Still i remember it
Agent : What were you afraid of?"
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"Customer :Two years ago, i was admitted in hospital. I was ill
Agent : Oh No, well glad to see you are here still!"
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"Customer :What were you afraid of? 
Agent : Two years ago, i was admitted in hospital. I was ill"
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,"Customer :Oh No, well glad to see you are here still! 
Agent : Luckily"
I am so annoyed by my new manager at work. He always lies to us.,annoyed,"Customer :We have a new manager at work and it isnt going well. 
Agent : what is your job position?"
I am so annoyed by my new manager at work. He always lies to us.,annoyed,"Customer :I do sales work, but he always lies to us and takes our bonus money. 
Agent : That's very bad"
I am so annoyed by my new manager at work. He always lies to us.,annoyed,"Customer :what is your job position?
Agent : I do sales work, but he always lies to us and takes our bonus money."
"Lending my vehicle to a friend, which I never do.",trusting,"Customer :You are never going to believe what I did
Agent : What did you do?"
"Lending my vehicle to a friend, which I never do.",trusting,"Customer :Well, I normally do not feel comfortable lending things to my friends, but recently I mustered up the trust to loan my friend my vehicle.
Agent : Ouch... Is it just for a day? Is your friend a safe driver?"
"Lending my vehicle to a friend, which I never do.",trusting,"Customer :Well, I have known him for a while and I have never seen him drive crazy, so im just hoping all goes well.  It is just for a day, but a lot can happen in a day.
Agent : Yes... If this makes you feel better.. I lent my car to a friend for a week and thank goodness everything was alright."
"Lending my vehicle to a friend, which I never do.",trusting,"Customer :What did you do? 
Agent : Well, I normally do not feel comfortable lending things to my friends, but recently I mustered up the trust to loan my friend my vehicle."
"Lending my vehicle to a friend, which I never do.",trusting,"Customer :Ouch... Is it just for a day? Is your friend a safe driver?
Agent : Well, I have known him for a while and I have never seen him drive crazy, so im just hoping all goes well.  It is just for a day, but a lot can happen in a day."
I just went for a shopping spree and bought a $2000 bag,guilty,"Customer :I went shopping yesterday and bought a $2000 bag. My husband is going to kill me..
Agent : Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks, then goes and spends it all on clothing and accessories."
I just went for a shopping spree and bought a $2000 bag,guilty,"Customer :All women have the same problem. It is a guilty pleasure..
Agent : We all deserve to treat ourselves every now and then."
I just went for a shopping spree and bought a $2000 bag,guilty,"Customer :Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks, then goes and spends it all on clothing and accessories.  
Agent : All women have the same problem. It is a guilty pleasure.."
"Had to wait in line forever to check out at walmart , horrible",disgusted,"Customer :I hate to be tired and see a store crowded with customers and only one or two checkouts open.
Agent : Yeah it's really frustrating when they won't have more eople on."
"Had to wait in line forever to check out at walmart , horrible",disgusted,"Customer :Especially when it's a time of day that they know will be crowded and busy.
Agent : Exactly. Hopefully more places will get self-checkout so we can get through the line faster."
"Had to wait in line forever to check out at walmart , horrible",disgusted,"Customer :Yeah it's really frustrating when they won't have more eople on. 
Agent : Especially when it's a time of day that they know will be crowded and busy."
"Had to wait in line forever to check out at walmart , horrible",disgusted,"Customer :Exactly. Hopefully more places will get self-checkout so we can get through the line faster. 
Agent : I don't mind those sometimes, sometimes I prefer they do it."
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.,furious,"Customer :There was a person who had to do twice the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job 
Agent : Yeah, or at least do something to correct that."
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.,furious,"Customer :Maybe there should be a training day where they do back over everything, 
Agent : or hire more people maybe also"
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.,furious,"Customer :That too! If only
Agent : They don't spend money unless they absolutely have to. They get bonuses for saving money I think"
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.,furious,"Customer :Yeah, or at least do something to correct that.
Agent : Maybe there should be a training day where they do back over everything,"
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own.,furious,"Customer :or hire more people maybe also
Agent : That too! If only"
Recently my manager lied to us. He changed our money and took the bonus away.,angry,"Customer :So our new manager has changed our bonus structure causing us to never hit bonus..
Agent : And then what?"
Recently my manager lied to us. He changed our money and took the bonus away.,angry,"Customer :Its frustrating when I go from 24 an hour to 10 an hour because of his lies. 
Agent : I understand, that must suck"
Recently my manager lied to us. He changed our money and took the bonus away.,angry,"Customer :And then what?
Agent : Its frustrating when I go from 24 an hour to 10 an hour because of his lies."
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :I had a chance to make some money, but my phone screwed up
Agent : Thats terrible... have you gotten a new phone yet?"
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :yes i did, but i still can not get that money
Agent : Thats true, but I hope some good luck comes your way soon.."
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,"Customer :Thats terrible... have you gotten a new phone yet? 
Agent : yes i did, but i still can not get that money"
We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating,"Customer :Last year I was so excited to be moving.
Agent : oh well, where did you move?"
We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating,"Customer :We moved back to our hometown. We were so looking forward to being near family and friends again.
Agent : wow!! wonderful isn't!! you would have been over the moon once you moved.."
We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating,"Customer :oh well, where did you move?
Agent : We moved back to our hometown. We were so looking forward to being near family and friends again."
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,"Customer :i bumped into a car while reversing, i had to wait long to talk to owner of the other car
Agent : Oh no, that's terrible. Sorry you had to deal with that."
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,"Customer :It was indeed. the worst part was not able to get hold of him. He parked and wandered somewhere.
Agent : I am sure that threw a wrench in your plans. How frustrating!"
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,"Customer :Oh no, that's terrible. Sorry you had to deal with that.
Agent : It was indeed. the worst part was not able to get hold of him. He parked and wandered somewhere."
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,"Customer :I am sure that threw a wrench in your plans. How frustrating!
Agent : Yeah i missed my movie.."
When my partner went out of her way to make my day better. with gifts.,nostalgic,"Customer :I was having a bad day the other day but my spouse went and surprised me with my favorite food. 
Agent : whats your favorite food? that was very nice of them"
When my partner went out of her way to make my day better. with gifts.,nostalgic,"Customer :I know it was rather sweet of them... i love anything asian! 
Agent : oh nice, im afraid the most asian food that i like is fortune cookies"
When my partner went out of her way to make my day better. with gifts.,nostalgic,"Customer :whats your favorite food? that was very nice of them
Agent : I know it was rather sweet of them... i love anything asian!"
I woke up early today for work. My children were still up watching cartoons!,surprised,"Customer :We just got back from vacation and our sleep times are off. It is really messing with me.
Agent : That will mess you up for a few days. The only thing I don't like about going away."
I woke up early today for work. My children were still up watching cartoons!,surprised,"Customer :I went to bed at a decent time last night. When I woke up my kids were still up watching cartoons!
Agent : Oh no. Hopefully everybody gets back to normal soon."
I woke up early today for work. My children were still up watching cartoons!,surprised,"Customer :That will mess you up for a few days. The only thing I don't like about going away.
Agent : I went to bed at a decent time last night. When I woke up my kids were still up watching cartoons!"
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :I like getting things done in the yard,but I feel so dirty afterwards.
Agent : I only like yard work with the kids. They do most of the work and we have fun in the dirt."
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :The grass makes me itchy, But the shower afterward feels great.
Agent : Oh no. The shower is the plus side to all the dirt I guess. I once found a snake digging a hole to plant a flower. I quit that day."
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,"Customer :I only like yard work with the kids. They do most of the work and we have fun in the dirt.
Agent : The grass makes me itchy, But the shower afterward feels great."
"When I realized all the chocolate was gone, after a long day.",sad,"Customer :So the other day I had a crazy long day and got home to find all of my chocolate was gone! 
Agent : Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day."
"When I realized all the chocolate was gone, after a long day.",sad,"Customer :I know right! ..., but atleast I had some amaretto in the fridge.. lol 
Agent : That's definitely better than nothing. I hope your days have been better since!"
"When I realized all the chocolate was gone, after a long day.",sad,"Customer :Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.
Agent : I know right! ..., but atleast I had some amaretto in the fridge.. lol"
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,"Customer :My daughter, Brooklyn, has finally overcame her fear of water and learned to swim! It makes me so happy to see her loving the water.
Agent : Thats so special! What a beautiful moment.. How old is she?"
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,"Customer :She is 4. She normally is completely fearless, compared to my son who is afraid of everything. Haha! So I love that she has worked so hard to overcome this.
Agent : My daughter is 1.5 years old - shes just been introduced to the water.. its always so special when our babies have their ""first"" moments. Congrats mama!"
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,"Customer :Thats so special! What a beautiful moment.. How old is she? 
Agent : She is 4. She normally is completely fearless, compared to my son who is afraid of everything. Haha! So I love that she has worked so hard to overcome this."
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,"Customer :My daughter is 1.5 years old - shes just been introduced to the water.. its always so special when our babies have their ""first"" moments. Congrats mama! 
Agent : Thank you, and same to you! I hope you enjoy many happy swimming days with your little princess."
I am concerned about the financial situation of my employer.,afraid,"Customer :Hi, I am concerned about the financial situation of my employer.
Agent : Have  you thought about talking to your boss about it?"
I am concerned about the financial situation of my employer.,afraid,"Customer :I don't think it is a good idea. There was a layout off six month ago. 
Agent : You should still speak to him about your concerns."
I am concerned about the financial situation of my employer.,afraid,"Customer :Have  you thought about talking to your boss about it?
Agent : I don't think it is a good idea. There was a layout off six month ago."
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,"Customer :So I am home from work and Marks car was outside. I went in and him and Liz were kissing on the couch.
Agent : This is terrible. So sad to hear that. What did you do then?"
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,"Customer :I made them both leave but me and Liz are breaking up. 
Agent : Did she already move out?"
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,"Customer :This is terrible. So sad to hear that. What did you do then?
Agent : I made them both leave but me and Liz are breaking up."
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,"Customer :Did she already move out?
Agent : I asked her to come and pack her bags. Enough is enough I can not do this with her anymore."
I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious,"Customer :Did you go outside and see if anyone was hurt?
Agent : What do you mean? I don't know what you are talking about."
I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious,"Customer :I heard a noise outside that sounded like a car had wrecked yesterday.
Agent : Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance."
I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious,"Customer :What do you mean? I don't know what you are talking about.
Agent : I heard a noise outside that sounded like a car had wrecked yesterday."
I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,"Customer :So after I left the club last night I noticed the Taxi had old throw up in it still.
Agent : I would have gotten out right then I believe."
I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,"Customer :I still took it since it was late but I rode in the front seat.
Agent : I guess you rolled all the windows down too and held your breath"
I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,"Customer :I would have gotten out right then I believe.
Agent : I still took it since it was late but I rode in the front seat."
I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,"Customer :I guess you rolled all the windows down too and held your breath
Agent : It was gross but I was super tired. I only paid half for the ride though."
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.,hopeful,"Customer :My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. 
Agent : Wao, that sound like a great strong realtionship you have with her, so glad to hear that!"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.,hopeful,"Customer :Yeah, thank you! at which situation did you feel hope for your life?
Agent : When my first daugther was born! i saw in new life, i thought everything in the world can change, we need to be pure as kids."
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.,hopeful,"Customer :Wow! you're right. We should learn from kids. 
Agent : When i see them, i believe thiw world in which we live fill with envy and hate can be rewed"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.,hopeful,"Customer :Wao, that sound like a great strong realtionship you have with her, so glad to hear that!
Agent : Yeah, thank you! at which situation did you feel hope for your life?"
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage.,hopeful,"Customer :When my first daugther was born! i saw in new life, i thought everything in the world can change, we need to be pure as kids.
Agent : Wow! you're right. We should learn from kids."
I came across an old keychain that my dad gave to me when I was younger. It was cool.,sentimental,"Customer :The other day when I was cleaning I came across an old keychain my dad gave me when I was younger, it was nice to see. 
Agent : Thats good that you found the keychain"
I came across an old keychain that my dad gave to me when I was younger. It was cool.,sentimental,"Customer :Yeah it meant a lot to me - almost like a sign! 
Agent : that's very good! Always nice to find those old lost items."
I came across an old keychain that my dad gave to me when I was younger. It was cool.,sentimental,"Customer :Thats good that you found the keychain
Agent : Yeah it meant a lot to me - almost like a sign!"
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,"Customer :My handyman keeps telling me he's coming by to fix my leaky sink, but he never shows up when he says he will, ugh.
Agent : That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today?"
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,"Customer :Oh yeah, and it goes to his answering machine every time.
Agent : Of course right, I would try angies list or homeadvisor! They can find you a new one..."
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,"Customer :That is seriously the worst... waiting around all day wondering whats going on! Have you tried calling him today? 
Agent : Oh yeah, and it goes to his answering machine every time."
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,"Customer :Of course right, I would try angies list or homeadvisor! They can find you a new one...
Agent : Thanks I will."
I was jealous when my co worker kept getting top spot when i knew he was cheating.,jealous,"Customer :My co worker keeps getting told how great of a job he is doing and I know hes doing wrong to get all the sales. 
Agent : Oh no. I am sure he will get caught eventually though."
I was jealous when my co worker kept getting top spot when i knew he was cheating.,jealous,"Customer :Doubtful, but I sure hope so! He gets a 100 dollar bonus every week because of his ways..
Agent : Things you do usually come back to you ."
I was jealous when my co worker kept getting top spot when i knew he was cheating.,jealous,"Customer :Oh no. I am sure he will get caught eventually though.
Agent : Doubtful, but I sure hope so! He gets a 100 dollar bonus every week because of his ways.."
"When i was in High school, I was in the all state band. I was very confident.",confident,"Customer :It was amazing sitting on the stage in that hug auditorium.
Agent : What event was taking place?"
"When i was in High school, I was in the all state band. I was very confident.",confident,"Customer :Music. Some of the hardest music that professionals play.
Agent : That's cool you were on stage for that. Were you one of the musicians?"
"When i was in High school, I was in the all state band. I was very confident.",confident,"Customer :What event was taking place?
Agent : Music. Some of the hardest music that professionals play."
"When i was in High school, I was in the all state band. I was very confident.",confident,"Customer :That's cool you were on stage for that. Were you one of the musicians?
Agent : yes i was"
I am happy to have a good vacation,content,"Customer :I am satisfied to have a good vacation
Agent : Oh yeah what are you doing for your vacation?"
I am happy to have a good vacation,content,"Customer :Nothing special. I just travel to my familly. It has been almost a year that I didn't see them.
Agent : Sounds rather special to me! Out of the country or to another state?"
I am happy to have a good vacation,content,"Customer :Oh yeah what are you doing for your vacation? 
Agent : Nothing special. I just travel to my familly. It has been almost a year that I didn't see them."
"My daughter used the potty for her first time the other day, it was awesome.",proud,"Customer :So the other day my daughter went potty for the first time on her own! 
Agent : That is great. It is sweet to see them grow and learn. How old is she?"
"My daughter used the potty for her first time the other day, it was awesome.",proud,"Customer :Shes 18 months old, it really is amazing to see them develop. If only people clapped for us when we used the bathroom... ha ha 
Agent : Funny one ha ha"
"My daughter used the potty for her first time the other day, it was awesome.",proud,"Customer :That is great. It is sweet to see them grow and learn. How old is she?
Agent : Shes 18 months old, it really is amazing to see them develop. If only people clapped for us when we used the bathroom... ha ha"
The other day my daughter knew to throw away her food when she was done.,impressed,"Customer :The other day after dinner my daughter took her trash to the trash on her own. I love watching her develop! 
Agent : It is so sweet. Is she able to talk?"
The other day my daughter knew to throw away her food when she was done.,impressed,"Customer :Shes just starting to try to say full sentences, but right now its just a lot of babbling and drooling. lol
Agent : That should be funny to see and hear"
The other day my daughter knew to throw away her food when she was done.,impressed,"Customer :It is so sweet. Is she able to talk?
Agent : Shes just starting to try to say full sentences, but right now its just a lot of babbling and drooling. lol"
i am angry against a friend that suppose to help me.,furious,"Customer :i am angry against a friend that suppose to help me.
Agent : That sucks... what was he or she supposed to help you with?"
i am angry against a friend that suppose to help me.,furious,"Customer :I wanted to wall mount my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything.
Agent : Well I hope you two can talk it out, express your feelings and work it out together! Friendship is hard to come by these days..."
i am angry against a friend that suppose to help me.,furious,"Customer :That sucks... what was he or she supposed to help you with? 
Agent : I wanted to wall mount my TV but my friend didn't come and turned off his cell phone. I was always helping him for anything."
"I remember getting prepared for my trip to peru, it was crazy!",prepared,"Customer :I traveled a few months ago and didnt realize how much planning is involved! Wow it was a lot to get ready for... 
Agent : Traveling is hard work. Where did you go?"
"I remember getting prepared for my trip to peru, it was crazy!",prepared,"Customer :I went to Peru to visit my family. I try to go every year. 
Agent : Wow. I have never neen that far! I have been to the Caribbean though."
"I remember getting prepared for my trip to peru, it was crazy!",prepared,"Customer :Traveling is hard work. Where did you go?
Agent : I went to Peru to visit my family. I try to go every year."
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,"Customer :I have a small circle of friends. They are like my family.
Agent : Thats awesome, friends really can be the best. How long have you known them?"
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,"Customer :Around ten years. I let my friends borrow my debit card the other day. A stranger wouldve wiped me out.
Agent : Im glad you have such good friends in your life, it makes life easier."
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,"Customer :Thats awesome, friends really can be the best. How long have you known them? 
Agent : Around ten years. I let my friends borrow my debit card the other day. A stranger wouldve wiped me out."
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,"Customer :Im glad you have such good friends in your life, it makes life easier. 
Agent : Yep. Trust them with my life."
I thought my company was going to have a lay off. it was a tough few weeks.,afraid,"Customer :So we had a meeting at work this week. Turns out we may have to shut down in the next few months.
Agent : Omg... thats terrible! Im so sorry - Ive been through similar. Are they going to give you some sort of money upon lay off?"
I thought my company was going to have a lay off. it was a tough few weeks.,afraid,"Customer :I feel like if they go through with it they have to offer us packages right?
Agent : If they have a heart or soul they will! They really should..."
I thought my company was going to have a lay off. it was a tough few weeks.,afraid,"Customer :Omg... thats terrible! Im so sorry - Ive been through similar. Are they going to give you some sort of money upon lay off? 
Agent : I feel like if they go through with it they have to offer us packages right?"
I thought my company was going to have a lay off. it was a tough few weeks.,afraid,"Customer :If they have a heart or soul they will! They really should...
Agent : Yeah I think a bunch of us are going to meet up after work and talk about it."
The other day I was surprised with a big bonus from work.,surprised,"Customer :The other day I got a bonus from work, which was amazing because i have recently got behind in bills. 
Agent : That is really cool! Did they tell you why they were giving you the bonus?"
The other day I was surprised with a big bonus from work.,surprised,"Customer :I wasnt expecting it, but basically because my stats were above 
Agent : Well at least you get something to look forward too at work."
The other day I was surprised with a big bonus from work.,surprised,"Customer :That is really cool! Did they tell you why they were giving you the bonus?
Agent : I wasnt expecting it, but basically because my stats were above"
I was going to see the new Marvel movie. On the way I got really pumped up.,excited,"Customer :So I went to see the new Marvel movie with Thanos. It was so good and I am so pumped up now.
Agent : What was it. I've been too busy to notice new movies out."
I was going to see the new Marvel movie. On the way I got really pumped up.,excited,"Customer :It was called Infinity War! You should find time to see it.
Agent : They do put out good movies most of the time. I will try and check it out."
I was going to see the new Marvel movie. On the way I got really pumped up.,excited,"Customer :What was it. I've been too busy to notice new movies out.
Agent : It was called Infinity War! You should find time to see it."
I was going to see the new Marvel movie. On the way I got really pumped up.,excited,"Customer :They do put out good movies most of the time. I will try and check it out. 
Agent : I think the new villain Thanos might be my favorite bad guy ever!"
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"Customer :I am afraid my neighbors are causing snakes to come over my way.
Agent : What are they doing to cause you to think that?"
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"Customer :They aren't clean and I've been getting a lot of mice, and snakes follow them I think.
Agent : I have heard that too. You might want to contact your local district."
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"Customer :good idea
Agent : No problem I hope everything works out"
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"Customer :What are they doing to cause you to think that?
Agent : They aren't clean and I've been getting a lot of mice, and snakes follow them I think."
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,"Customer :I have heard that too. You might want to contact your local district.
Agent : good idea"
Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,"Customer :Today is my birthday! I am 34!
Agent : Happy Birthday!!!! What are you going to do for it?"
Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,"Customer :Nothing today since its Thursday, hopefully I can bar hop this weekend. Waiting for gifts today.
Agent : I hope you get lots and lots!"
Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,"Customer :Happy Birthday!!!! What are you going to do for it? 
Agent : Nothing today since its Thursday, hopefully I can bar hop this weekend. Waiting for gifts today."
Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,"Customer :I hope you get lots and lots! 
Agent : me too. I love goodies."
when i moved into my apartment it was full of bugs!,angry,"Customer :I was so excited to move to a new state, but when i moved into my apartment it was full of bugs! ugh
Agent : Oh no! Bugs really creep me out!"
when i moved into my apartment it was full of bugs!,angry,"Customer :me too.. i really was freaking out. 
Agent : what did the landlor do about it? Did you have to call an exterminator?"
when i moved into my apartment it was full of bugs!,angry,"Customer :Oh no! Bugs really creep me out!
Agent : me too.. i really was freaking out."
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed,"Customer :I was disappointed by my manager when he told that I will probably get my promotion next year (not this year)
Agent : Ugh.. that seems like forever away.. can you try to get it sooner?"
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed,"Customer :No, I tried everything. It is like betrayed me.
Agent : Maybe consider looking for a new job in the meantime? Never hurts to stay ahead.."
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed,"Customer :Ugh.. that seems like forever away.. can you try to get it sooner? 
Agent : No, I tried everything. It is like betrayed me."
I get to go out today after work! yay,excited,"Customer :I get to go to the water park today! I cant wait. 
Agent : That is nice. I like going to water park. What time are you going?"
I get to go out today after work! yay,excited,"Customer :Its so much fun, really pretty down there too. Oh in a few hours! 
Agent : Is it a big water park?"
I get to go out today after work! yay,excited,"Customer :That is nice. I like going to water park. What time are you going?
Agent : Its so much fun, really pretty down there too. Oh in a few hours!"
I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,"Customer :I went out last weekend and had a major accident. Guess what happened...
Agent : Are you ok, you have to tell me what happened."
I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,"Customer :I'm fine. Just a litte embarassed. I ripped my leggings dancing on bourbon street.
Agent : Ahh that has happened to everyone before. It is embarrassing but you will get over it."
I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,"Customer :Yep. My shirt was long enough to cover it. Plus I don't live there lol.
Agent : Well im glad you were able to cover up."
I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,"Customer :Are you ok, you have to tell me what happened.
Agent : I'm fine. Just a litte embarassed. I ripped my leggings dancing on bourbon street."
